unit	cone	cross	a	b	c
K1	73	A	4.192946494	20.75381771	3.647451215
K1	74	A	4.139106863	21.13765245	2.338159744
K1	75	A	3.973317709	18.13632824	3.74648923
K1	76	G	3.969949138	20.93891592	2.503172951
K1	77	G	3.867231512	17.09354169	2.298210808
K1	78	G	3.74746043	14.69974526	2.383539752
K1	79	G	3.937884891	16.82489872	2.89766999
K1	80	A	3.867231512	17.09354169	2.298210808
K1	81	A	3.74746043	14.69974526	2.383539752
K1	82	A	3.937884891	16.82489872	2.89766999
K1	83	G	3.867231512	17.09354169	2.298210808
K1	84	G	3.64688648	16.72460957	2.128911995
K1	85	G	3.867231512	17.09354169	2.298210808
K1	86	G	3.731471996	16.48046254	2.833455199
K1	87	G	3.87303768	18.27529441	3.097403457
K1	88	G	3.937884891	16.82489872	2.89766999
K1	89	A	3.937884891	16.82489872	2.89766999
K1	90	G	3.937884891	16.82489872	2.89766999
K1	91	G	3.867231512	17.09354169	2.298210808
K1	92	G	4.131062712	23.50840818	1.40770245
K1	93	A	3.983466171	15.96835848	4.746856659
K1	94	A	3.983466171	15.96835848	4.746856659
K1	95	G	3.929617397	17.18464193	2.649245962
K1	96	A	3.83372981	14.58578617	3.060895094
R2	1	A	4.046760757	17.98097952	2.518074285
R2	2	G	3.658985787	13.46418696	1.26900023
R2	3	A	3.999322051	15.56522803	2.296920202
R2	4	A	4.159380584	21.65986737	3.549523347
R2	5	G	4.029854368	21.6185009	2.959332147
R2	6	A	4.029854368	21.6185009	2.959332147
R2	7	G	3.769439709	13.91862834	0.948202605
R2	8	A	3.932078642	16.08073618	1.56412501
R2	9	A	3.974858596	15.91837463	1.940070306
R2	10	A	3.899572873	16.10608445	2.226562143
R2	11	G	4.042590409	22.29574588	1.776801157
R2	12	A	3.899572873	16.10608445	2.226562143
R2	13	G	3.645930163	20.51721809	4.821299183
R2	14	A	3.974858596	15.91837463	1.940070306
R2	15	G	4.004893751	19.30848198	2.807021503
R2	16	A	4.075945793	19.51650547	1.444204049
R2	17	A	4.037091942	20.04458157	1.620309221
R2	18	A	3.974858596	15.91837463	1.940070306
R2	19	G	4.007371561	18.24070183	1.202526463
R2	20	A	3.974858596	15.91837463	1.940070306
R2	21	A	3.766941978	14.96592494	2.839784621
R2	22	G	4.220757031	23.95370362	2.820540133
R2	23	A	3.65856511	21.71161815	4.12378293
R2	24	A	3.931008334	25.00436685	3.822861425
R2	25	G	3.963872449	22.5763833	2.156447786
R2	26	G	4.159380584	21.65986737	3.549523347
R2	27	A	3.935790743	16.87628275	2.1332416
R2	28	G	4.233330114	22.11427242	2.814916418
R2	29	A	3.446142948	18.67445953	1.915112856
R2	30	A	4.110029479	18.7494855	3.742038488
R2	31	A	3.966430285	18.70837675	3.948908437
R2	32	G	3.966430285	18.70837675	3.948908437
R2	33	A	4.0748089	17.63234404	2.087187995
R2	34	G	4.087456489	19.12147145	2.48135692
R2	35	G	4.048735469	17.38149502	2.857999762
R2	36	G	4.042590409	22.29574588	1.776801157
R2	37	A	3.899572873	16.10608445	2.226562143
R2	38	A	4.04373541	19.4040705	2.027556581
R2	39	G	3.315480578	20.13944825	2.293045799
R2	40	G	4.142550475	18.95367503	2.933784295
R2	41	G	3.927852749	17.38411712	3.054039038
R2	42	G	3.587653386	12.35444671	0.883203643
R2	43	G	4.04373541	19.4040705	2.027556581
R2	44	A	4.037091942	20.04458157	1.620309221
R2	45	G	3.951280934	19.22966659	3.567293541
R2	46	A	4.006794129	21.01531725	0.875145727
R2	47	G	4.046760757	17.98097952	2.518074285
R2	48	G	4.0748089	17.63234404	2.087187995
R2	49	G	4.124299444	24.92687182	1.822567122
R2	50	G	3.658257834	18.58608203	3.360978542
R2	51	A	4.140770122	24.28848975	3.209028514
R2	52	A	4.227800734	21.1096283	3.172586128
R2	53	A	4.047750375	21.68226359	2.109812178
R2	54	A	4.046760757	17.98097952	2.518074285
R2	55	G	4.090284618	19.2452561	3.338299281
R2	56	A	4.220757031	23.95370362	2.820540133
R2	57	A	4.220757031	23.95370362	2.820540133
R2	58	G	3.658257834	18.58608203	3.360978542
R2	59	A	4.140770122	24.28848975	3.209028514
R2	60	G	3.972980863	22.56400492	1.318327132
R2	61	G	4.220757031	23.95370362	2.820540133
R2	62	A	4.014555604	21.37124981	3.96339804
R2	63	A	3.974858596	15.91837463	1.940070306
R2	64	G	3.928031831	20.12549921	1.94089496
R2	65	A	4.028474938	15.19064903	1.859372697
R2	66	A	4.007371561	18.24070183	1.202526463
R2	67	G	3.966430285	18.70837675	3.948908437
R2	68	G	3.951280934	19.22966659	3.567293541
R2	69	A	3.899572873	16.10608445	2.226562143
R2	70	G	4.0748089	17.63234404	2.087187995
R2	71	G	3.9346769	19.49916728	2.289356586
R2	72	G	4.046760757	17.98097952	2.518074285
R2	73	G	3.9346769	19.49916728	2.289356586
R2	74	G	4.095847242	26.11007448	3.609598337
R2	75	A	3.999322051	15.56522803	2.296920202
R2	76	G	5.512942868	30.62896428	4.03981997
R2	77	A	3.928031831	20.12549921	1.94089496
R2	78	G	3.458318398	17.0758735	2.296070197
R2	79	G	4.166009061	19.78602861	2.645280438
R2	80	A	3.689567005	22.25646893	2.107608734
R2	81	G	3.927852749	17.38411712	3.054039038
R2	82	G	4.090284618	19.2452561	3.338299281
R2	83	G	3.830577774	19.16212024	2.914228603
R2	84	A	3.658985787	13.46418696	1.26900023
R2	85	G	3.880030374	14.22998162	0.65743469
R2	86	A	4.104931202	21.34177925	2.586845494
R2	87	A	4.051425927	19.68061867	1.107894048
R2	88	G	4.056948334	21.81698791	1.233923705
R2	89	G	4.042590409	22.29574588	1.776801157
R2	90	A	4.166009061	19.78602861	2.645280438
R2	91	A	4.680915557	26.87624383	3.601752958
R2	92	G	3.927852749	17.38411712	3.054039038
R2	93	A	4.090284618	19.2452561	3.338299281
R2	94	A	4.04373541	19.4040705	2.027556581
R2	95	A	3.527715414	22.99324193	2.728032846
R2	96	G	3.974858596	15.91837463	1.940070306
O1	1	A	3.40683639	16.49568639	1.415679216
O1	2	A	3.980486624	21.619675	2.150063529
O1	3	G	3.941945818	19.19542529	1.846050054
O1	4	G	3.618646926	21.16973102	2.060034268
O1	5	G	4.069226579	21.06400643	2.195973617
O1	6	G	3.997419862	18.39517919	2.693335692
O1	7	A	3.941945818	19.19542529	1.846050054
O1	8	G	4.009100456	19.08924398	2.451855174
O1	9	A	3.707275706	19.14046743	1.007269372
O1	10	G	4.145785072	25.94592986	2.229548282
O1	11	A	3.40683639	16.49568639	1.415679216
O1	12	G	3.828846064	19.18813569	2.00625591
O1	13	A	3.828846064	19.18813569	2.00625591
O1	14	G	3.977943477	21.00033118	2.434489431
O1	15	G	3.977943477	21.00033118	2.434489431
O1	16	A	3.941945818	19.19542529	1.846050054
O1	17	G	3.878487831	19.98345117	0.95295153
O1	18	A	4.030748303	25.28536388	2.967403726
O1	19	G	3.977943477	21.00033118	2.434489431
O1	20	G	4.017670918	20.66736548	2.871193235
O1	21	A	3.980486624	21.619675	2.150063529
O1	22	G	4.042114502	21.4335369	2.650359407
O1	23	A	4.09105182	23.90461041	2.762731939
O1	24	A	3.980486624	21.619675	2.150063529
O1	25	G	3.618646926	21.16973102	2.060034268
O1	26	A	4.029364614	22.55269497	2.029340982
O1	27	A	4.052435993	20.306059	2.454246
O1	28	A	3.966993655	22.14742102	4.090075191
O1	29	A	4.022519736	21.268261	1.743423638
O1	30	A	3.828846064	19.18813569	2.00625591
O1	31	A	3.89889147	23.00578202	3.2160973
O1	32	A	3.828846064	19.18813569	2.00625591
O1	33	A	4.029364614	22.55269497	2.029340982
