unit	cone	cross	drought_b	survival_time	biomass	log_surv	sqrt_surv	log_biomass	sqrt_biomass
C1	NA	G	16.34294	27	0.1062	1.431363764	5.196152423	-0.973875483	0.325883415
C1	NA	G	16.92041	26	0.0704	1.414973348	5.099019514	-1.152427341	0.265329983
C1	NA	G	16.46153	28	0.0961	1.447158031	5.291502622	-1.017276612	0.31
C1	NA	G	16.46153	28	0.0771	1.447158031	5.291502622	-1.112945622	0.277668868
C1	NA	G	15.59939	27	0.1148	1.431363764	5.196152423	-0.940058112	0.338821487
C1	NA	G	15.84588	26	0.0798	1.414973348	5.099019514	-1.097997109	0.282488938
C1	NA	G	16.92041	26	0.1003	1.414973348	5.099019514	-0.998699067	0.316701752
C1	NA	G	20.81985	34	0.0584	1.531478917	5.830951895	-1.233587153	0.241660919
C1	NA	G	17.44435	27	0.0661	1.431363764	5.196152423	-1.179798541	0.257099203
C1	NA	G	15.78282	28	0.1257	1.447158031	5.291502622	-0.900664722	0.354541958
C1	NA	G	20.73394	28	0.089	1.447158031	5.291502622	-1.050609993	0.298328678
C1	NA	G	12.20349	26	0.1503	1.414973348	5.099019514	-0.823041019	0.387685439
C1	NA	G	NA	NA	NA	NA	NA	NA	NA
C1	NA	G	18.17498	26	0.1011	1.414973348	5.099019514	-0.995248844	0.317962262
C2	NA	A	16.34294	27	0.1536	1.431363764	5.196152423	-0.813608784	0.391918359
C2	NA	A	20.73394	28	0.0855	1.447158031	5.291502622	-1.068033885	0.29240383
C2	NA	A	22.19074	28	0.0387	1.447158031	5.291502622	-1.412289035	0.196723156
C2	NA	A	16.74136	27	0.0866	1.431363764	5.196152423	-1.062482108	0.294278779
C2	NA	A	16.74136	27	0.1254	1.431363764	5.196152423	-0.901702464	0.354118624
C2	NA	A	15.56639	26	0.1087	1.414973348	5.099019514	-0.963770456	0.32969683
C2	NA	A	23.82041	34	0.0776	1.531478917	5.830951895	-1.110138279	0.278567766
C2	NA	A	NA	NA	NA	NA	NA	NA	NA
C2	NA	A	16.74136	27	0.1549	1.431363764	5.196152423	-0.809948582	0.393573373
C2	NA	A	22.4262	28	0.0511	1.447158031	5.291502622	-1.2915791	0.226053091
C2	NA	A	17.79222	28	0.1095	1.447158031	5.291502622	-0.960585881	0.330907842
C2	NA	A	21.97063	34	0.0599	1.531478917	5.830951895	-1.222573178	0.244744765
C2	NA	A	19.82814	34	0.0599	1.531478917	5.830951895	-1.222573178	0.244744765
C2	NA	A	16.34294	27	0.0727	1.431363764	5.196152423	-1.138465589	0.269629375
